,Food_insecure_individuals,Food_insecurity_rate,Food_secure_individuals,Population,State
0,800620,16.5,4062680,4863300.0,Alabama
1,99650,13.4,642244,741894.0,Alaska
2,1033590,14.9,5897481,6931071.0,Arizona
3,515270,17.2,2472978,2988248.0,Arkansas
4,4574710,11.7,34675307,39250017.0,California
5,627480,11.3,4913065,5540545.0,Colorado
6,414730,11.6,3161722,3576452.0,Connecticut
7,114370,12.0,837695,,Delaware
8,84380,12.4,596790,681170.0,District of Columbia
9,2871650,13.9,17740789,20612439.0,Florida
10,1561360,15.1,8749011,10310371.0,Georgia
11,168030,11.8,1260527,1428557.0,Hawaii
12,221800,13.2,1461340,1683140.0,Idaho
13,1413420,11.0,11388119,12801539.0,Illinois
14,910870,13.7,5722183,6633053.0,Indiana
15,360540,11.5,2774153,3134693.0,Lowa
16,375360,12.9,2531929,2907289.0,Kansas
17,685830,15.5,3751144,4436974.0,Kentucky
18,783400,16.7,3898266,4681666.0,Louisiana
19,183310,13.8,1148169,1331479.0,Maine
20,665420,11.1,5351027,6016447.0,Maryland
21,652760,9.6,6159019,6811779.0,Massachusetts
22,1414700,14.2,8513600,9928300.0,Michigan
23,508630,9.2,5011322,5519952.0,Minnesota
24,600840,20.1,2387886,2988726.0,Mississipi
25,896570,14.7,5196430,6093000.0,Missouri
26,128740,12.3,913780,1042520.0,Montana
27,227350,11.9,1679766,1907116.0,Nebraska
28,372820,12.7,2567238,2940058.0,Nevada
29,119770,9.0,1215025,1334795.0,New Hampshire
30,919030,10.3,8025439,8944469.0,New Jersey
31,327930,15.8,1753085,2081015.0,New Mexico
32,2352940,11.9,17392349,19745289.0,New York
33,1565910,15.4,8580878,10146788.0,North Carolina
34,55710,7.4,702243,757953.0,North Dakota
35,1758310,15.1,9856063,11614373.0,Ohio
36,635740,16.2,3287821,3923561.0,Oklahoma
37,527370,12.9,3566095,4093465.0,Oregon
38,1599520,12.5,11184707,12784227.0,Pennsylvania
39,128330,12.1,928096,1056426.0,Rhode Island
40,687880,13.9,4273239,4961119.0,South Carolina
41,100990,11.7,764464,865454.0,South Dakota
42,967430,14.5,5683764,6651194.0,Tennessee
43,4277540,15.4,23585056,27862596.0,Texas
44,382490,12.5,2668727,3051217.0,Utah
45,75360,12.1,549234,624594.0,Vermont
46,893720,10.6,7518088,8411808.0,Virginia
47,872720,12.0,6415280,7288000.0,Washington
48,267280,14.6,1563822,1831102.0,West Virginia
49,609360,10.5,5169349,5778709.0,Wisconsin
50,73830,12.6,511671,585501.0,Wyoming
