Food ,insecurity ,rate    ,Food ,security ,rate
65,35,,,,
46,54,,,,
56,44,,,,
70,30,,,,
35,65,,,,
33,67,,,,
35,65,,,,
38,62,,,,
40,60,,,,
50,50,,,,
57,43,,,,
36,64,,,,
45,55,,,,
32,68,,,,
48,52,,,,
43,57,,,,
59,41,,,,
67,33,,,,
34,66,,,,
49,51,,,,
32,68,,,,
22,78,,,,
52,48,,,,
20,80,,,,
88,12,,,,
54,46,,,,
40,60,,,,
37,63,,,,
42,58,,,,
19,81,,,,
27,73,,,,
61,39,,,,
37,63,,,,
59,41,,,,
8,92,,,,
57,43,,,,
64,36,,,,
43,57,,,,
41,59,,,,
38,62,,,,
49,51,,,,
35,65,,,,
53,47,,,,
58,42,,,,
41,59,,,,
38,62,,,,
29,71,,,,
37,63,,,,
54,46,,,,
28,72,,,,
41,59,,,,
,,,,,
